"Make"	"Model"	"Description"	"AorM"	"Transmission"	"Engine Capacity"	"Fuel Type"	" Imperial Urban (Cold) "	" Imperial Extra-Urban "	" Imperial Combined "	" CO2 g/km "	" Fuel Cost 12000 Miles "	" Tax band "	" Standard 12 months "	" Standard 6 Months "
"ABARTH"	500	"500 and 500C"	"Manual"	"M5"	1368	"Petrol"	" 33.20 "	" 52.30 "	" 43.50 "	" 155.00 "	" £1,743.16 "	" G "	" £170.00 "	" £93.50 "
"ABARTH"	500	"500 and 500C "	"Automatic"	"SAT5"	1368	"Petrol"	" 33.60 "	" 52.30 "	" 43.50 "	" 151.00 "	" £1,743.16 "	" G "	" £170.00 "	" £93.50 "
"ABARTH"	500	"595 and 595C"	"Automatic"	"SAT5"	1368	"Petrol"	" 33.60 "	" 52.30 "	" 43.50 "	" 151.00 "	" £1,743.16 "	" G "	" £170.00 "	" £93.50 "
"ABARTH"	500	"595 and 595C"	"Manual"	"M5"	1368	"Petrol"	" 33.20 "	" 52.30 "	" 43.50 "	" 155.00 "	" £1,743.16 "	" G "	" £170.00 "	" £93.50 "
"ABARTH"	"Punto Evo"	"1.4 16v Turbo MultiAir 165"	"Manual"	"M6"	1368	"Petrol"	" 35.30 "	" 56.50 "	" 46.30 "	" 142.00 "	" £1,637.74 "	" F "	" £135.00 "	" £74.25 "
"ALFA ROMEO"	"Punto Evo"	"Supersport"	"Manual"	"M6"	1368	"Petrol"	" 35.30 "	" 56.50 "	" 46.30 "	" 142.00 "	" £1,637.74 "	" F "	" £135.00 "	" £74.25 "
"ALFA ROMEO"	"Giulietta"	"1.4 TB 120 bhp"	"Manual"	"M6"	1368	"Petrol"	" 33.60 "	" 53.30 "	" 44.10 "	" 149.00 "	" £1,719.44 "	" F "	" £135.00 "	" £74.25 "
"ALFA ROMEO"	"Giulietta"	"1.4 TB MultiAir 170 bhp"	"Manual"	"M6"	1368	"Petrol"	" 36.20 "	" 61.40 "	" 48.70 "	" 134.00 "	" £1,557.03 "	" E "	" £120.00 "	" £66.00 "
"ALFA ROMEO"	"Giulietta"	"1.4 TB MultiAir 170 bhp Alfa TCT"	"Automatic"	"SAT6"	1368	"Petrol"	" 42.20 "	" 65.70 "	" 54.30 "	" 121.00 "	" £1,396.45 "	" D "	" £100.00 "	" £55.00 "
"ALFA ROMEO"	"Giulietta"	"1.6 JTDm-2 105 bhp"	"Manual"	"M6"	1598	"Diesel"	" 51.40 "	" 76.30 "	" 64.20 "	" 114.00 "	" £1,249.09 "	" C "	" £30.00 "	" NA "
"ALFA ROMEO"	"Giulietta"	"1750 TBi 235 bhp"	"Manual"	"M6"	1742	"Petrol"	" 26.20 "	" 48.70 "	" 37.20 "	" 177.00 "	" £2,038.37 "	" I "	" £215.00 "	" £118.25 "
"ALFA ROMEO"	"Giulietta"	"2.0 JTDm-2 140 bhp"	"Manual"	"M6"	1956	"Diesel"	" 50.40 "	" 72.40 "	" 62.80 "	" 119.00 "	" £1,276.93 "	" C "	" £30.00 "	" NA "
"ALFA ROMEO"	"Giulietta"	"2.0 JTDm-2 170 bhp "	"Manual"	"M6"	1956	"Diesel"	" 48.70 "	" 68.90 "	" 60.10 "	" 124.00 "	" £1,334.30 "	" D "	" £100.00 "	" £55.00 "
"ALFA ROMEO"	"Giulietta"	"2.0 JTDm-2 170 bhp Alfa TCT"	"Automatic"	"SAT6"	1956	"Diesel"	" 53.30 "	" 70.60 "	" 62.80 "	" 119.00 "	" £1,276.93 "	" C "	" £30.00 "	" NA "
"ALFA ROMEO"	"MiTo"	"0.9 TB TwinAir 85 bhp"	"Manual"	"M6"	875	"Petrol"	" 57.60 "	" 74.30 "	" 67.30 "	" 98.00 "	" £1,126.71 "	" A "	" £0.00 "	" NA "
"ALFA ROMEO"	"MiTo"	"1.3 JTDm-2 85 bhp"	"Manual"	"M5"	1248	"Diesel"	" 64.20 "	" 97.40 "	" 80.70 "	" 90.00 "	" £993.70 "	" A "	" £0.00 "	" NA "
"ALFA ROMEO"	"MiTo"	"1.4 8v 78 bhp"	"Manual"	"M5"	1368	"Petrol"	" 38.70 "	" 61.40 "	" 50.40 "	" 130.00 "	" £1,504.51 "	" D "	" £100.00 "	" £55.00 "
"ALFA ROMEO"	"MiTo"	"1.4 MultiAir 105 bhp"	"Manual"	"M6"	1368	"Petrol"	" 37.70 "	" 60.10 "	" 49.60 "	" 134.00 "	" £1,528.78 "	" E "	" £120.00 "	" £66.00 "
"ALFA ROMEO"	"MiTo"	"1.4 TB MultiAir 135 bhp"	"Manual"	"M5"	1368	"Petrol"	" 38.70 "	" 64.20 "	" 51.40 "	" 128.00 "	" £1,475.24 "	" D "	" £100.00 "	" £55.00 "
"ALFA ROMEO"	"MiTo"	"1.4 TB MultiAir 135 bhp Alfa TCT"	"Automatic"	"SAT6"	1368	"Petrol"	" 39.80 "	" 62.80 "	" 51.40 "	" 126.00 "	" £1,475.24 "	" D "	" £100.00 "	" £55.00 "
"ALFA ROMEO"	"MiTo"	"1.4 TB MultiAir 170 bhp"	"Manual"	"M6"	1368	"Petrol"	" 34.90 "	" 58.90 "	" 47.10 "	" 139.00 "	" £1,609.92 "	" E "	" £120.00 "	" £66.00 "
"ASTON MARTIN LAGONDA"	"MiTo"	"1.6 JTDm-2 120 bhp"	"Manual"	"M6"	1598	"Diesel"	" 53.30 "	" 74.30 "	" 64.20 "	" 114.00 "	" £1,249.09 "	" C "	" £30.00 "	" NA "
"ASTON MARTIN LAGONDA"	"Cygnet MY2011"	"Hatchback"	"Manual"	"6MT"	1329	"Petrol"	" 48.70 "	" 62.80 "	" 56.50 "	" 116.00 "	" £1,342.08 "	" C "	" £30.00 "	" NA "
"ASTON MARTIN LAGONDA"	"Cygnet MY2011"	"Hatchback"	"Automatic"	"CVT"	1329	"Petrol"	" 46.30 "	" 61.40 "	" 54.30 "	" 120.00 "	" £1,396.45 "	" C "	" £30.00 "	" NA "
"ASTON MARTIN LAGONDA"	"DB9 Model Year 2010"	"Coupé & Convertible March 2010 onwards"	"Automatic"	"A6"	5935	"Petrol"	" 12.70 "	" 27.70 "	" 19.30 "	" 345.00 "	" £3,928.87 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"DB9 Model Year 2010"	"Coupé & Convertible March 2010 onwards"	"Manual"	"M6"	5935	"Petrol"	" 11.50 "	" 24.10 "	" 17.20 "	" 389.00 "	" £4,408.56 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"DBS"	"Coupé & Convertible March 2010 onwards"	"Automatic"	"A6"	5935	"Petrol"	" 11.70 "	" 26.90 "	" 18.20 "	" 367.00 "	" £4,166.33 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"DBS"	"Coupé & Convertible March 2010 onwards"	"Manual"	"M6"	5935	"Petrol"	" 11.60 "	" 24.10 "	" 17.20 "	" 388.00 "	" £4,408.56 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"Rapide Model Year 2010"	"4 Door Sports March 2010 onwards"	"Automatic"	"A6"	5935	"Petrol"	" 12.50 "	" 27.20 "	" 19.00 "	" 355.00 "	" £3,990.91 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"V12 Vantage"	"Hatchback March 2010 onwards"	"Manual"	"M6"	5935	"Petrol"	" 11.60 "	" 24.10 "	" 17.20 "	" 388.00 "	" £4,408.56 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"V8 Vantage MY2011"	"Coupé & Convertible"	"Manual"	"M6"	4735	"Petrol"	" 14.40 "	" 27.20 "	" 20.50 "	" 321.00 "	" £3,698.89 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"V8 Vantage MY2011"	"Coupé & Convertible (ASM6)"	"Automatic"	"ASM  "	4735	"Petrol"	" 15.40 "	" 30.40 "	" 22.40 "	" 295.00 "	" £3,385.15 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"V8 Vantage MY2011"	"Coupé & Convertible (Sports Muffler)"	"Manual"	"M6"	4735	"Petrol"	" 14.40 "	" 27.20 "	" 20.50 "	" 321.00 "	" £3,698.89 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"V8 Vantage MY2011"	"Coupé & Convertible (Sports Muffler/ASM6)  "	"Automatic"	"ASM  "	4735	"Petrol"	" 15.40 "	" 30.40 "	" 22.40 "	" 295.00 "	" £3,385.15 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"V8 Vantage MY2012 December 2011 onwards"	"Coupé & Convertible (ASM7)"	"Automatic"	"ASM  "	4735	"Petrol"	" 14.70 "	" 30.40 "	" 21.90 "	" 299.00 "	" £3,462.43 "	" M "	" £475.00 "	" £261.25 "
"ASTON MARTIN LAGONDA"	"V8 Vantage S 2011MY"	"Coupé & Convertible (ASM7)"	"Automatic"	"ASM  "	4735	"Petrol"	" 14.70 "	" 30.40 "	" 21.90 "	" 299.00 "	" £3,462.43 "	" M "	" £475.00 "	" £261.25 "
"AUDI"	"Virage MY2012"	"Coupé & Convertible"	"Automatic"	"A6"	5935	"Petrol"	" 12.70 "	" 26.20 "	" 18.80 "	" 349.00 "	" £4,033.37 "	" M "	" £475.00 "	" £261.25 "
"AUDI"	"A1"	"1.2 TFSI 86PS Stop-Start"	"Manual"	"M5"	1197	"Petrol"	" 45.60 "	" 64.20 "	" 55.40 "	" 118.00 "	" £1,368.72 "	" C "	" £30.00 "	" NA "
"AUDI"	"A1"	"1.4 TFSI 122PS Stop-Start"	"Manual"	"M6"	1390	"Petrol"	" 41.50 "	" 64.20 "	" 53.30 "	" 124.00 "	" £1,422.65 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A1"	"1.4 TFSI S line 122PS 7speed S-Tronic Stop-Start"	"Automatic"	"D7"	1390	"Petrol"	" 43.50 "	" 61.40 "	" 53.30 "	" 122.00 "	" £1,422.65 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A1"	"1.4 TFSI S line 185PS 7speed S-Tronic Stop-Start"	"Automatic"	"D7"	1390	"Petrol"	" 37.70 "	" 55.40 "	" 47.90 "	" 139.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A1"	"1.4 TFSI Sport 122PS 7speed S-Tronic Stop-Start"	"Automatic"	"D7"	1390	"Petrol"	" 43.50 "	" 64.20 "	" 54.30 "	" 119.00 "	" £1,396.45 "	" C "	" £30.00 "	" NA "
"AUDI"	"A1"	"1.6 TDI 105PS Stop-Start "	"Manual"	"M5"	1598	"Diesel"	" 64.20 "	" 83.10 "	" 74.30 "	" 99.00 "	" £1,079.29 "	" A "	" £0.00 "	" NA "
"AUDI"	"A1"	"2.0 TDI 143PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 56.50 "	" 78.50 "	" 68.90 "	" 108.00 "	" £1,163.88 "	" B "	" £20.00 "	" NA "
"AUDI"	"A1 Sportback"	"1.2 TFSI 86PS Stop-Start"	"Manual"	"M5"	1197	"Petrol"	" 45.60 "	" 64.20 "	" 55.40 "	" 118.00 "	" £1,368.72 "	" C "	" £30.00 "	" NA "
"AUDI"	"A1 Sportback"	"1.4 TFSI 122PS Stop-Start"	"Manual"	"M6"	1390	"Petrol"	" 40.90 "	" 61.40 "	" 52.30 "	" 126.00 "	" £1,449.85 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A1 Sportback"	"1.4 TFSI 122PS Stop-Start 7speed S-Tronic"	"Automatic"	"D7"	1390	"Petrol"	" 43.50 "	" 61.40 "	" 53.30 "	" 122.00 "	" £1,422.65 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A1 Sportback"	"1.4 TFSI 185PS Stop-Start 7speed S-Tronic"	"Automatic"	"D7"	1390	"Petrol"	" 37.70 "	" 55.40 "	" 47.90 "	" 139.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A1 Sportback"	"1.6 TDI 105PS Stop-Start"	"Manual"	"M5"	1598	"Diesel"	" 64.20 "	" 83.10 "	" 74.30 "	" 99.00 "	" £1,079.29 "	" A "	" £0.00 "	" NA "
"AUDI"	"A1 Sportback"	"2.0 TDI 143PS Stop-Start"	"Manual"	"M6"	1968	"Diesel"	" 56.50 "	" 78.50 "	" 68.90 "	" 108.00 "	" £1,163.88 "	" B "	" £20.00 "	" NA "
"AUDI"	"A3"	"1.2 TFSI 105PS 7speed S-Tronic Stop-Start"	"Automatic"	"D7"	1197	"Petrol"	" 43.50 "	" 61.40 "	" 53.30 "	" 123.00 "	" £1,422.65 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3"	"1.2 TFSI 105PS Stop-Start"	"Manual"	"M6"	1197	"Petrol"	" 42.20 "	" 60.10 "	" 51.40 "	" 127.00 "	" £1,475.24 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3"	"1.4 TFSI 125PS 7speed S-Tronic Stop-Start"	"Automatic"	"D7"	1390	"Petrol"	" 44.10 "	" 60.10 "	" 53.30 "	" 124.00 "	" £1,422.65 "	" D "	" £100.00 "	" £55.00 "
"AUDI"	"A3"	"1.4 TFSI 125PS Stop-Start"	"Manual"	"M6"	1390	"Petrol"	" 38.70 "	" 58.90 "	" 49.60 "	" 132.00 "	" £1,528.78 "	" E "	" £120.00 "	" £66.00 "
"AUDI"	"A3"	"1.6 TDI 105PS 7speed S-Tronic Stop Start "	"Automatic"	"D7"	1598	"Diesel"	" 62.80 "	" 72.40 "	" 67.30 "	" 109.00 "	" £1,191.55 "	" B "	" £20.00 "	" NA "
